locale;code;texto
pt;ABERTO;Aberto
en;ABERTO;Open
pt;PROCESSADO;Processado
en;PROCESSADO;Processed
pt;PROCESSADO_COM_ERRO;Processado com erro
en;PROCESSADO_COM_ERRO;Processed with errors
