locale;code;texto
pt;ABERTA;Aberta
en;ABERTA;Open
pt;LIBERADA;Liberada
en;LIBERADA;Released
pt;BLOQUEADA;Bloqueada
en;BLOQUEADA;Blocked
pt;CANCELADA;Cancelada
en;CANCELADA;Canceled
